HomeTeam;AwayTeam;Year;HomeGoals;AwayGoals;TotalGoals
Argentina;Chile;2019;2;1;3
Algeria;Guinea;2019;3;0;3
Madagascar;DR Congo;2019;2;2;4
Brazil;Peru;2019;3;1;4
United States;Mexico;2019;0;1;1
India;Tajikistan;2019;2;4;6
Ghana;Tunisia;2019;1;1;2
Mali;Ivory Coast;2019;0;1;1
Samoa;Papua New Guinea;2019;0;6;6
American Samoa;New Caledonia;2019;0;5;5
Tuvalu;Solomon Islands;2019;0;13;13
Tahiti;Fiji;2019;1;2;3
Syria;North Korea;2019;5;2;7
Nigeria;South Africa;2019;2;1;3
Senegal;Benin;2019;1;0;1
Papua New Guinea;Vanuatu;2019;2;0;2
Tuvalu;Tahiti;2019;0;7;7
American Samoa;Fiji;2019;0;9;9
Solomon Islands;New Caledonia;2019;0;2;2
Tajikistan;Syria;2019;2;0;2
Ivory Coast;Algeria;2019;1;1;2
Madagascar;Tunisia;2019;0;3;3
Samoa;Tonga;2019;2;0;2
American Samoa;Tuvalu;2019;1;1;2
Solomon Islands;Tahiti;2019;0;3;3
New Caledonia;Fiji;2019;1;0;1
India;North Korea;2019;2;5;7
Algeria;Nigeria;2019;2;1;3
Senegal;Tunisia;2019;1;0;1
Tonga;Vanuatu;2019;0;14;14
Fiji;Tuvalu;2019;10;1;11
Solomon Islands;American Samoa;2019;13;0;13
Tahiti;New Caledonia;2019;0;3;3
North Korea;Tajikistan;2019;1;0;1
India;Syria;2019;1;1;2
Tunisia;Nigeria;2019;0;1;1
Papua New Guinea;Tonga;2019;8;0;8
Samoa;Vanuatu;2019;0;11;11
New Caledonia;Tuvalu;2019;11;0;11
American Samoa;Tahiti;2019;8;1;9
Fiji;Solomon Islands;2019;4;4;8
Senegal;Algeria;2019;0;1;1
Tajikistan;North Korea;2019;0;1;1
Papua New Guinea;Fiji;2019;1;1;2
Equatorial Guinea;Liberia;2019;1;1;2
Djibouti;Ethiopia;2019;0;1;1
Botswana;Zambia;2019;0;0;0
Comoros;Namibia;2019;0;2;2
Burundi;South Sudan;2019;2;0;2
Somalia;Uganda;2019;1;3;4
Cape Verde;Mauritania;2019;0;0;0
Guinea-Bissau;Mali;2019;0;4;4
Chad;Equatorial Guinea;2019;3;3;6
Tanzania;Kenya;2019;0;0;0
Lesotho;South Africa;2019;3;2;5
Madagascar;Mozambique;2019;1;0;1
Eswatini;Angola;2019;1;1;2
Liberia;Senegal;2019;1;0;1
Benin;Togo;2019;0;0;0
Mauritius;Zimbabwe;2019;0;4;4
Uganda;Somalia;2019;4;1;5
Angola;Eswatini;2019;1;1;2
Zambia;Botswana;2019;3;2;5
Mauritania;Cape Verde;2019;2;1;3
Senegal;Liberia;2019;3;0;3
Equatorial Guinea;Chad;2019;2;1;3
Ethiopia;Djibouti;2019;4;3;7
Kenya;Tanzania;2019;0;0;0
South Sudan;Burundi;2019;1;2;3
Mozambique;Madagascar;2019;3;2;5
Namibia;Comoros;2019;0;0;0
South Africa;Lesotho;2019;0;3;3
Zimbabwe;Mauritius;2019;3;1;4
Mali;Guinea-Bissau;2019;3;0;3
Togo;Benin;2019;1;0;1
Saint Vincent and the Grenadines;Trinidad and Tobago;2019;1;0;1
Dominican Republic;Guatemala;2019;0;0;0
Saint Kitts and Nevis;Antigua and Barbuda;2019;4;3;7
Belize;Saint Vincent and the Grenadines;2019;1;1;2
Taiwan;Guam;2019;3;0;3
United Arab Emirates;Dominican Republic;2019;4;0;4
Belize;Saint Vincent and the Grenadines;2019;1;0;1
China PR;Myanmar;2019;4;1;5
Malaysia;Jordan;2019;0;1;1
United Arab Emirates;Sri Lanka;2019;5;1;6
Libya;Burkina Faso;2019;0;1;1
Burundi;Tanzania;2019;1;1;2
Djibouti;Eswatini;2019;2;1;3
Eritrea;Namibia;2019;1;2;3
Ethiopia;Lesotho;2019;0;0;0
Liberia;Sierra Leone;2019;3;1;4
Mauritius;Mozambique;2019;0;1;1
São Tomé and Príncipe;Guinea-Bissau;2019;0;1;1
South Sudan;Equatorial Guinea;2019;1;1;2
Argentina;Chile;2019;0;0;0
Honduras;Puerto Rico;2019;4;0;4
South Korea;Georgia;2019;2;2;4
Montenegro;Hungary;2019;2;1;3
Northern Ireland;Luxembourg;2019;1;0;1
Peru;Ecuador;2019;0;1;1
Saudi Arabia;Mali;2019;1;1;2
Republic of Ireland;Switzerland;2019;1;1;2
Gibraltar;Denmark;2019;0;6;6
Faroe Islands;Sweden;2019;0;4;4
Norway;Malta;2019;2;0;2
Romania;Spain;2019;1;2;3
Israel;North Macedonia;2019;1;1;2
Armenia;Italy;2019;1;3;4
Bosnia and Herzegovina;Liechtenstein;2019;5;0;5
Finland;Greece;2019;1;0;1
Japan;Paraguay;2019;2;0;2
Bermuda;Panama;2019;1;4;5
Grenada;Saint Kitts and Nevis;2019;2;1;3
French Guiana;Belize;2019;3;0;3
Dominica;Suriname;2019;1;2;3
United States Virgin Islands;Cayman Islands;2019;0;2;2
Barbados;Saint Martin;2019;4;0;4
Guatemala;Anguilla;2019;10;0;10
Guam;Maldives;2019;0;1;1
Philippines;Syria;2019;2;5;7
Taiwan;Jordan;2019;1;2;3
Kuwait;Nepal;2019;7;0;7
Cambodia;Hong Kong;2019;1;1;2
Bahrain;Iraq;2019;1;1;2
Palestine;Uzbekistan;2019;2;0;2
Singapore;Yemen;2019;2;2;4
India;Oman;2019;1;2;3
Qatar;Afghanistan;2019;6;0;6
Mongolia;Myanmar;2019;1;0;1
Tajikistan;Kyrgyzstan;2019;1;0;1
Thailand;Vietnam;2019;0;0;0
Indonesia;Malaysia;2019;2;3;5
North Korea;Lebanon;2019;2;0;2
Sri Lanka;Turkmenistan;2019;0;2;2
Chad;Sudan;2019;1;3;4
Seychelles;Rwanda;2019;0;3;3
Somalia;Zimbabwe;2019;1;0;1
Brazil;Colombia;2019;2;2;4
Costa Rica;Uruguay;2019;1;2;3
Ivory Coast;Benin;2019;1;2;3
Morocco;Burkina Faso;2019;1;1;2
Tunisia;Mauritania;2019;1;0;1
United States;Mexico;2019;0;3;3
Estonia;Belarus;2019;1;2;3
Germany;Netherlands;2019;2;4;6
Wales;Azerbaijan;2019;2;1;3
Slovakia;Croatia;2019;0;4;4
Austria;Latvia;2019;6;0;6
Slovenia;Poland;2019;2;0;2
Cyprus;Kazakhstan;2019;1;1;2
Scotland;Russia;2019;1;2;3
San Marino;Belgium;2019;0;4;4
Martinique;Trinidad and Tobago;2019;1;1;2
Aruba;Guyana;2019;0;1;1
Jamaica;Antigua and Barbuda;2019;6;0;6
Nicaragua;Saint Vincent and the Grenadines;2019;1;1;2
Bonaire;British Virgin Islands;2019;4;2;6
Comoros;Togo;2019;1;1;2
Gambia;Angola;2019;0;1;1
Libya;Niger;2019;2;0;2
Kosovo;Czech Republic;2019;2;1;3
England;Bulgaria;2019;4;0;4
Lithuania;Ukraine;2019;0;3;3
Serbia;Portugal;2019;2;4;6
Iceland;Moldova;2019;3;0;3
France;Albania;2019;4;1;5
Turkey;Andorra;2019;1;0;1
Canada;Cuba;2019;6;0;6
Curaçao;Haiti;2019;1;0;1
Montserrat;Dominican Republic;2019;2;1;3
El Salvador;Saint Lucia;2019;3;0;3
Guadeloupe;Sint Maarten;2019;5;1;6
Botswana;Malawi;2019;0;0;0
Kenya;Uganda;2019;1;1;2
Switzerland;Gibraltar;2019;4;0;4
Georgia;Denmark;2019;0;0;0
Romania;Malta;2019;1;0;1
Spain;Faroe Islands;2019;4;0;4
Sweden;Norway;2019;1;1;2
Armenia;Bosnia and Herzegovina;2019;4;2;6
Finland;Italy;2019;1;2;3
Greece;Liechtenstein;2019;1;1;2
Panama;Bermuda;2019;0;2;2
Belize;Grenada;2019;1;2;3
Saint Kitts and Nevis;French Guiana;2019;2;2;4
